Title,Artist,Rank,Weeks,PeakPos,Date
Something Just Like This,The Chainsmokers & Coldplay,27,36,3,2017-09-30
Location,Khalid,28,42,16,2017-09-30
What Lovers Do,Maroon 5 Featuring SZA,29,9,12,2017-09-30
What About Us,P!nk,30,12,13,2017-09-30
Redbone,Childish Gambino,31,44,12,2017-09-30
What Ifs,Kane Brown Featuring Lauren Alaina,32,20,26,2017-09-30
Congratulations,Post Malone Featuring Quavo,33,44,8,2017-09-30
Friends,Justin Bieber + BloodPop,34,10,20,2017-09-30
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",35,22,1,2017-09-30
Love Galore,SZA Featuring Travis Scott,36,20,32,2017-09-30
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",37,18,20,2017-09-30
Small Town Boy,Dustin Lynch,38,20,36,2017-09-30
Loyalty.,Kendrick Lamar Featuring Rihanna,39,26,14,2017-09-30
Thunder,Imagine Dragons,40,26,5,2017-09-30
Stay,Zedd & Alessia Cara,41,31,7,2017-09-30
Jocelyn Flores,XXXTentacion,42,9,31,2017-09-30
Say You Won't Let Go,James Arthur,43,52,11,2017-09-30
Dusk Till Dawn,Zayn Featuring Sia,44,7,44,2017-09-30
No Promises,Cheat Codes Featuring Demi Lovato,45,23,38,2017-09-30
Mask Off,Future,46,31,5,2017-09-30
Unforgettable,Thomas Rhett,47,13,47,2017-09-30
The Race,Tay-K,48,12,44,2017-09-30
When It Rains It Pours,Luke Combs,49,13,33,2017-09-30
Do Re Mi,Blackbear,50,20,40,2017-09-30
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,51,18,45,2017-09-30
Heartache On The Dance Floor,Jon Pardi,52,17,47,2017-09-30
Roll In Peace,Kodak Black Featuring XXXTENTACION,53,10,53,2017-09-30
The Weekend,SZA,54,13,44,2017-09-30
The Way Life Goes,Lil Uzi Vert,55,9,39,2017-09-30
New Rules,Dua Lipa,56,13,34,2017-09-30
F**k Love,XXXTentacion Featuring Trippie Redd,57,9,41,2017-09-30
Transportin',Kodak Black,58,10,46,2017-09-30
Silence,Marshmello Featuring Khalid,59,11,42,2017-09-30
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",60,20,44,2017-09-30
Butterfly Effect,Travis Scott,61,22,51,2017-09-30
Love So Soft,Kelly Clarkson,62,7,57,2017-09-30
Magnolia,Playboi Carti,63,20,29,2017-09-30
Havana,Camila Cabello Featuring Young Thug,64,11,7,2017-09-30
Glorious,Macklemore Featuring Skylar Grey,65,16,49,2017-09-30
All The Pretty Girls,Kenny Chesney,66,13,63,2017-09-30
Sauce It Up,Lil Uzi Vert,67,9,49,2017-09-30
No Such Thing As A Broken Heart,Old Dominion,68,19,46,2017-09-30
B.E.D.,Jacquees,69,12,69,2017-09-30
Felices Los 4,Maluma,70,20,48,2017-09-30
Bad At Love,Halsey,71,8,31,2017-09-30
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,72,10,40,2017-09-30
I'll Name The Dogs,Blake Shelton,73,7,70,2017-09-30
Fetish,Selena Gomez Featuring Gucci Mane,74,12,27,2017-09-30
Escapate Conmigo,Wisin Featuring Ozuna,75,20,63,2017-09-30
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,76,13,51,2017-09-30
They Don't Know,Jason Aldean,77,12,67,2017-09-30
Every Little Thing,Carly Pearce,78,13,50,2017-09-30
Everybody Dies In Their Nightmares,XXXTentacion,79,4,54,2017-09-30
Found You,Kane Brown,80,1,80,2017-09-30
Gucci Gang,Lil Pump,81,7,14,2017-09-30
Greatest Love Story,LANCO,82,8,51,2017-09-30
Versace On The Floor,Bruno Mars,83,14,33,2017-09-30
Drinkin' Problem,Midland,84,20,45,2017-09-30
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,85,7,30,2017-09-30
More Girls Like You,Kip Moore,86,11,66,2017-09-30
These Heaux,Bhad Bhabie,87,3,77,2017-09-30
Relationship,Young Thug Featuring Future,88,10,65,2017-09-30
Questions,Chris Brown,89,9,84,2017-09-30
Do I Make You Wanna,Billy Currington,90,19,47,2017-09-30
Light It Up,Luke Bryan,91,9,64,2017-09-30
Swish Swish,Katy Perry Featuring Nicki Minaj,92,10,46,2017-09-30
Wish I Knew You,The Revivalists,93,9,84,2017-09-30
It Ain't My Fault,Brothers Osborne,94,16,79,2017-09-30
I Could Use A Love Song,Maren Morris,95,10,83,2017-09-30
Fix A Drink,Chris Janson,96,9,69,2017-09-30
No Complaints,Metro Boomin Featuring Offset & Drake,97,5,71,2017-09-30
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",98,7,54,2017-09-30
Let Me Go,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,99,5,73,2017-09-30
444+222,Lil Uzi Vert,100,3,60,2017-09-30
Look What You Made Me Do,Taylor Swift,1,10,1,2017-09-23
Bodak Yellow (Money Moves),Cardi B,2,17,1,2017-09-23
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,3,41,1,2017-09-23
...Ready For It?,Taylor Swift,4,8,4,2017-09-23
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,5,26,3,2017-09-23
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,6,19,2,2017-09-23
Attention,Charlie Puth,7,27,5,2017-09-23
Believer,Imagine Dragons,8,38,4,2017-09-23
Unforgettable,French Montana Featuring Swae Lee,9,29,3,2017-09-23
There's Nothing Holdin' Me Back,Shawn Mendes,10,27,6,2017-09-23
Rake It Up,Yo Gotti Featuring Nicki Minaj,11,17,8,2017-09-23
Bank Account,21 Savage,12,16,12,2017-09-23
Sorry Not Sorry,Demi Lovato,13,16,6,2017-09-23
Strip That Down,Liam Payne Featuring Quavo,14,23,10,2017-09-23
Slow Hands,Niall Horan,15,26,11,2017-09-23
Shape Of You,Ed Sheeran,16,42,1,2017-09-23
That's What I Like,Bruno Mars,17,41,1,2017-09-23
Feel It Still,Portugal. The Man,18,19,4,2017-09-23
XO TOUR Llif3,Lil Uzi Vert,19,31,7,2017-09-23
Body Like A Back Road,Sam Hunt,20,39,6,2017-09-23
Humble.,Kendrick Lamar,21,30,1,2017-09-23
Mi Gente,J Balvin & Willy William Featuring Beyonce,22,17,3,2017-09-23
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",23,18,20,2017-09-23
Congratulations,Post Malone Featuring Quavo,24,44,8,2017-09-23
Something Just Like This,The Chainsmokers & Coldplay,25,36,3,2017-09-23
Praying,Kesha,26,16,22,2017-09-23
What Lovers Do,Maroon 5 Featuring SZA,27,9,12,2017-09-23
Redbone,Childish Gambino,28,44,12,2017-09-23
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",29,22,1,2017-09-23
Location,Khalid,30,42,16,2017-09-23
I Get The Bag,Gucci Mane Featuring Migos,31,10,11,2017-09-23
What About Us,P!nk,32,12,13,2017-09-23
Young Dumb & Broke,Khalid,33,15,25,2017-09-23
Stay,Zedd & Alessia Cara,34,31,7,2017-09-23
Friends,Justin Bieber + BloodPop,35,10,20,2017-09-23
Loyalty.,Kendrick Lamar Featuring Rihanna,36,26,14,2017-09-23
Love Galore,SZA Featuring Travis Scott,37,20,32,2017-09-23
Jocelyn Flores,XXXTentacion,38,9,31,2017-09-23
Say You Won't Let Go,James Arthur,39,52,11,2017-09-23
What Ifs,Kane Brown Featuring Lauren Alaina,40,20,26,2017-09-23
Small Town Boy,Dustin Lynch,41,20,36,2017-09-23
No Promises,Cheat Codes Featuring Demi Lovato,42,23,38,2017-09-23
Mask Off,Future,43,31,5,2017-09-23
The Race,Tay-K,44,12,44,2017-09-23
Thunder,Imagine Dragons,45,26,5,2017-09-23
Transportin',Kodak Black,46,10,46,2017-09-23
The Way Life Goes,Lil Uzi Vert,47,9,39,2017-09-23
When It Rains It Pours,Luke Combs,48,13,33,2017-09-23
F**k Love,XXXTentacion Featuring Trippie Redd,49,9,41,2017-09-23
Do Re Mi,Blackbear,50,20,40,2017-09-23
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",51,20,44,2017-09-23
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,52,18,45,2017-09-23
Roll In Peace,Kodak Black Featuring XXXTENTACION,53,10,53,2017-09-23
Silence,Marshmello Featuring Khalid,54,11,42,2017-09-23
Swish Swish,Katy Perry Featuring Nicki Minaj,55,10,46,2017-09-23
Heartache On The Dance Floor,Jon Pardi,56,17,47,2017-09-23
Sauce It Up,Lil Uzi Vert,57,9,49,2017-09-23
Butterfly Effect,Travis Scott,58,22,51,2017-09-23
No Such Thing As A Broken Heart,Old Dominion,59,19,46,2017-09-23
Magnolia,Playboi Carti,60,20,29,2017-09-23
The Weekend,SZA,61,13,44,2017-09-23
New Rules,Dua Lipa,62,13,34,2017-09-23
Unforgettable,Thomas Rhett,63,13,47,2017-09-23
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,64,10,40,2017-09-23
Fetish,Selena Gomez Featuring Gucci Mane,65,12,27,2017-09-23
Felices Los 4,Maluma,66,20,48,2017-09-23
All The Pretty Girls,Kenny Chesney,67,13,63,2017-09-23
Glorious,Macklemore Featuring Skylar Grey,68,16,49,2017-09-23
B.E.D.,Jacquees,69,12,69,2017-09-23
Everybody Dies In Their Nightmares,XXXTentacion,70,4,54,2017-09-23
Versace On The Floor,Bruno Mars,71,14,33,2017-09-23
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,72,13,51,2017-09-23
Havana,Camila Cabello Featuring Young Thug,73,11,7,2017-09-23
Escapate Conmigo,Wisin Featuring Ozuna,74,20,63,2017-09-23
Drinkin' Problem,Midland,75,20,45,2017-09-23
They Don't Know,Jason Aldean,76,12,67,2017-09-23
These Heaux,Bhad Bhabie,77,3,77,2017-09-23
Every Little Thing,Carly Pearce,78,13,50,2017-09-23
444+222,Lil Uzi Vert,79,3,60,2017-09-23
Do I Make You Wanna,Billy Currington,80,19,47,2017-09-23
Bad At Love,Halsey,81,8,31,2017-09-23
More Girls Like You,Kip Moore,82,11,66,2017-09-23
It Ain't My Fault,Brothers Osborne,83,16,79,2017-09-23
Wish I Knew You,The Revivalists,84,9,84,2017-09-23
Light It Up,Luke Bryan,85,9,64,2017-09-23
Greatest Love Story,LANCO,86,8,51,2017-09-23
My Girl,Dylan Scott,87,20,39,2017-09-23
Most Girls,Hailee Steinfeld,88,16,58,2017-09-23
Questions,Chris Brown,89,9,84,2017-09-23
Relationship,Young Thug Featuring Future,90,10,65,2017-09-23
Dark Queen,Lil Uzi Vert,91,2,91,2017-09-23
I Could Use A Love Song,Maren Morris,92,10,83,2017-09-23
X,Lil Uzi Vert,93,2,81,2017-09-23
Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,94,2,79,2017-09-23
Fix A Drink,Chris Janson,95,9,69,2017-09-23
Revenge,XXXTentacion,96,2,77,2017-09-23
Sky Walker,Miguel Featuring Travis Scott,97,5,80,2017-09-23
Somebody Else Will,Justin Moore,98,13,59,2017-09-23
Reminder,The Weeknd,99,17,31,2017-09-23
No Fear,DeJ Loaf,100,1,100,2017-09-23
Look What You Made Me Do,Taylor Swift,1,10,1,2017-09-16
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2,41,1,2017-09-16
Bodak Yellow (Money Moves),Cardi B,3,17,1,2017-09-16
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,4,19,2,2017-09-16
Attention,Charlie Puth,5,27,5,2017-09-16
Believer,Imagine Dragons,6,38,4,2017-09-16
Unforgettable,French Montana Featuring Swae Lee,7,29,3,2017-09-16
There's Nothing Holdin' Me Back,Shawn Mendes,8,27,6,2017-09-16
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,9,26,3,2017-09-16
Strip That Down,Liam Payne Featuring Quavo,10,23,10,2017-09-16
Shape Of You,Ed Sheeran,11,42,1,2017-09-16
Bank Account,21 Savage,12,16,12,2017-09-16
Rake It Up,Yo Gotti Featuring Nicki Minaj,13,17,8,2017-09-16
Humble.,Kendrick Lamar,14,30,1,2017-09-16
Slow Hands,Niall Horan,15,26,11,2017-09-16
XO TOUR Llif3,Lil Uzi Vert,16,31,7,2017-09-16
That's What I Like,Bruno Mars,17,41,1,2017-09-16
Sorry Not Sorry,Demi Lovato,18,16,6,2017-09-16
Body Like A Back Road,Sam Hunt,19,39,6,2017-09-16
Feel It Still,Portugal. The Man,20,19,4,2017-09-16
Congratulations,Post Malone Featuring Quavo,21,44,8,2017-09-16
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",22,18,20,2017-09-16
Mi Gente,J Balvin & Willy William Featuring Beyonce,23,17,3,2017-09-16
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",24,22,1,2017-09-16
Redbone,Childish Gambino,25,44,12,2017-09-16
Something Just Like This,The Chainsmokers & Coldplay,26,36,3,2017-09-16
Praying,Kesha,27,16,22,2017-09-16
What About Us,P!nk,28,12,13,2017-09-16
Location,Khalid,29,42,16,2017-09-16
Stay,Zedd & Alessia Cara,30,31,7,2017-09-16
Jocelyn Flores,XXXTentacion,31,9,31,2017-09-16
Young Dumb & Broke,Khalid,32,15,25,2017-09-16
Friends,Justin Bieber + BloodPop,33,10,20,2017-09-16
Say You Won't Let Go,James Arthur,34,52,11,2017-09-16
Loyalty.,Kendrick Lamar Featuring Rihanna,35,26,14,2017-09-16
Love Galore,SZA Featuring Travis Scott,36,20,32,2017-09-16
Mask Off,Future,37,31,5,2017-09-16
Small Town Boy,Dustin Lynch,38,20,36,2017-09-16
The Way Life Goes,Lil Uzi Vert,39,9,39,2017-09-16
What Ifs,Kane Brown Featuring Lauren Alaina,40,20,26,2017-09-16
F**k Love,XXXTentacion Featuring Trippie Redd,41,9,41,2017-09-16
I Get The Bag,Gucci Mane Featuring Migos,42,10,11,2017-09-16
No Promises,Cheat Codes Featuring Demi Lovato,43,23,38,2017-09-16
It Ain't Me,Kygo x Selena Gomez,44,29,10,2017-09-16
Thunder,Imagine Dragons,45,26,5,2017-09-16
No Such Thing As A Broken Heart,Old Dominion,46,19,46,2017-09-16
Swish Swish,Katy Perry Featuring Nicki Minaj,47,10,46,2017-09-16
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",48,20,44,2017-09-16
Sauce It Up,Lil Uzi Vert,49,9,49,2017-09-16
Do Re Mi,Blackbear,50,20,40,2017-09-16
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,51,18,45,2017-09-16
Silence,Marshmello Featuring Khalid,52,11,42,2017-09-16
Magnolia,Playboi Carti,53,20,29,2017-09-16
Everybody Dies In Their Nightmares,XXXTentacion,54,4,54,2017-09-16
Transportin',Kodak Black,55,10,46,2017-09-16
When It Rains It Pours,Luke Combs,56,13,33,2017-09-16
Heartache On The Dance Floor,Jon Pardi,57,17,47,2017-09-16
Fetish,Selena Gomez Featuring Gucci Mane,58,12,27,2017-09-16
Butterfly Effect,Travis Scott,59,22,51,2017-09-16
444+222,Lil Uzi Vert,60,3,60,2017-09-16
Roll In Peace,Kodak Black Featuring XXXTENTACION,61,10,53,2017-09-16
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,62,10,40,2017-09-16
DNA.,Kendrick Lamar,63,20,4,2017-09-16
The Race,Tay-K,64,12,44,2017-09-16
Unforgettable,Thomas Rhett,65,13,47,2017-09-16
Drinkin' Problem,Midland,66,20,45,2017-09-16
New Rules,Dua Lipa,67,13,34,2017-09-16
The Weekend,SZA,68,13,44,2017-09-16
Glorious,Macklemore Featuring Skylar Grey,69,16,49,2017-09-16
Felices Los 4,Maluma,70,20,48,2017-09-16
Versace On The Floor,Bruno Mars,71,14,33,2017-09-16
Escapate Conmigo,Wisin Featuring Ozuna,72,20,63,2017-09-16
What Lovers Do,Maroon 5 Featuring SZA,73,9,12,2017-09-16
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,74,13,51,2017-09-16
All The Pretty Girls,Kenny Chesney,75,13,63,2017-09-16
Light It Up,Luke Bryan,76,9,64,2017-09-16
Revenge,XXXTentacion,77,2,77,2017-09-16
Do I Make You Wanna,Billy Currington,78,19,47,2017-09-16
Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,79,2,79,2017-09-16
Two,Lil Uzi Vert,80,1,80,2017-09-16
X,Lil Uzi Vert,81,2,81,2017-09-16
For Real,Lil Uzi Vert,82,1,82,2017-09-16
Havana,Camila Cabello Featuring Young Thug,83,11,7,2017-09-16
UnFazed,Lil Uzi Vert Featuring The Weeknd,84,1,84,2017-09-16
Love.,Kendrick Lamar Featuring Zacari,85,20,18,2017-09-16
B.E.D.,Jacquees,86,12,69,2017-09-16
Most Girls,Hailee Steinfeld,87,16,58,2017-09-16
My Girl,Dylan Scott,88,20,39,2017-09-16
They Don't Know,Jason Aldean,89,12,67,2017-09-16
No Sleep Leak,Lil Uzi Vert,90,1,90,2017-09-16
Depression & Obsession,XXXTentacion,91,1,91,2017-09-16
Dark Queen,Lil Uzi Vert,92,2,91,2017-09-16
Every Little Thing,Carly Pearce,93,13,50,2017-09-16
Save Me,XXXTentacion,94,1,94,2017-09-16
Carry On,XXXTentacion,95,1,95,2017-09-16
Wish I Knew You,The Revivalists,96,9,84,2017-09-16
Tell Me You Love Me,Demi Lovato,97,1,97,2017-09-16
More Girls Like You,Kip Moore,98,11,66,2017-09-16
Down,Fifth Harmony Featuring Gucci Mane,99,10,42,2017-09-16
It Ain't My Fault,Brothers Osborne,100,16,79,2017-09-16
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,41,1,2017-09-09
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,2,19,2,2017-09-09
Bodak Yellow (Money Moves),Cardi B,3,17,1,2017-09-09
Believer,Imagine Dragons,4,38,4,2017-09-09
Attention,Charlie Puth,5,27,5,2017-09-09
Unforgettable,French Montana Featuring Swae Lee,6,29,3,2017-09-09
There's Nothing Holdin' Me Back,Shawn Mendes,7,27,6,2017-09-09
That's What I Like,Bruno Mars,8,41,1,2017-09-09
Shape Of You,Ed Sheeran,9,42,1,2017-09-09
Rake It Up,Yo Gotti Featuring Nicki Minaj,10,17,8,2017-09-09
Strip That Down,Liam Payne Featuring Quavo,11,23,10,2017-09-09
Bank Account,21 Savage,12,16,12,2017-09-09
Body Like A Back Road,Sam Hunt,13,39,6,2017-09-09
Slow Hands,Niall Horan,14,26,11,2017-09-09
Congratulations,Post Malone Featuring Quavo,15,44,8,2017-09-09
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",16,22,1,2017-09-09
Redbone,Childish Gambino,17,44,12,2017-09-09
Sorry Not Sorry,Demi Lovato,18,16,6,2017-09-09
Humble.,Kendrick Lamar,19,30,1,2017-09-09
Friends,Justin Bieber + BloodPop,20,10,20,2017-09-09
Something Just Like This,The Chainsmokers & Coldplay,21,36,3,2017-09-09
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",22,18,20,2017-09-09
Feel It Still,Portugal. The Man,23,19,4,2017-09-09
Mi Gente,J Balvin & Willy William Featuring Beyonce,24,17,3,2017-09-09
XO TOUR Llif3,Lil Uzi Vert,25,31,7,2017-09-09
Location,Khalid,26,42,16,2017-09-09
Stay,Zedd & Alessia Cara,27,31,7,2017-09-09
Praying,Kesha,28,16,22,2017-09-09
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,29,26,3,2017-09-09
Mask Off,Future,30,31,5,2017-09-09
Say You Won't Let Go,James Arthur,31,52,11,2017-09-09
Loyalty.,Kendrick Lamar Featuring Rihanna,32,26,14,2017-09-09
Love Galore,SZA Featuring Travis Scott,33,20,32,2017-09-09
I Get The Bag,Gucci Mane Featuring Migos,34,10,11,2017-09-09
What About Us,P!nk,35,12,13,2017-09-09
Small Town Boy,Dustin Lynch,36,20,36,2017-09-09
It Ain't Me,Kygo x Selena Gomez,37,29,10,2017-09-09
What Ifs,Kane Brown Featuring Lauren Alaina,38,20,26,2017-09-09
No Promises,Cheat Codes Featuring Demi Lovato,39,23,38,2017-09-09
Now Or Never,Halsey,40,20,17,2017-09-09
Young Dumb & Broke,Khalid,41,15,25,2017-09-09
Versace On The Floor,Bruno Mars,42,14,33,2017-09-09
Everyday We Lit,YFN Lucci Featuring PnB Rock,43,20,33,2017-09-09
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",44,20,44,2017-09-09
Drinkin' Problem,Midland,45,20,45,2017-09-09
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,46,21,38,2017-09-09
Magnolia,Playboi Carti,47,20,29,2017-09-09
Castle On The Hill,Ed Sheeran,48,33,6,2017-09-09
The Race,Tay-K,49,12,44,2017-09-09
No Such Thing As A Broken Heart,Old Dominion,50,19,46,2017-09-09
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,51,18,45,2017-09-09
Silence,Marshmello Featuring Khalid,52,11,42,2017-09-09
Roll In Peace,Kodak Black Featuring XXXTENTACION,53,10,53,2017-09-09
Do Re Mi,Blackbear,54,20,40,2017-09-09
Fetish,Selena Gomez Featuring Gucci Mane,55,12,27,2017-09-09
Heartache On The Dance Floor,Jon Pardi,56,17,47,2017-09-09
Butterfly Effect,Travis Scott,57,22,51,2017-09-09
When It Rains It Pours,Luke Combs,58,13,33,2017-09-09
Thunder,Imagine Dragons,59,26,5,2017-09-09
Back To You,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,60,10,40,2017-09-09
Felices Los 4,Maluma,61,20,48,2017-09-09
You Look Good,Lady Antebellum,62,20,59,2017-09-09
Escapate Conmigo,Wisin Featuring Ozuna,63,20,63,2017-09-09
Whatever You Need,Meek Mill Featuring Chris Brown & Ty Dolla $ign,64,13,51,2017-09-09
DNA.,Kendrick Lamar,65,20,4,2017-09-09
Do I Make You Wanna,Billy Currington,66,19,47,2017-09-09
Unforgettable,Thomas Rhett,67,13,47,2017-09-09
Glorious,Macklemore Featuring Skylar Grey,68,16,49,2017-09-09
Somebody Else Will,Justin Moore,69,13,59,2017-09-09
Most Girls,Hailee Steinfeld,70,16,58,2017-09-09
Love.,Kendrick Lamar Featuring Zacari,71,20,18,2017-09-09
The Weekend,SZA,72,13,44,2017-09-09
2U,David Guetta Featuring Justin Bieber,73,11,16,2017-09-09
New Rules,Dua Lipa,74,13,34,2017-09-09
B.E.D.,Jacquees,75,12,69,2017-09-09
All The Pretty Girls,Kenny Chesney,76,13,63,2017-09-09
Look What You Made Me Do,Taylor Swift,77,10,1,2017-09-09
My Girl,Dylan Scott,78,20,39,2017-09-09
Younger Now,Miley Cyrus,79,1,79,2017-09-09
Its Every Night Sis,RiceGum Featuring Alissa Violet,80,1,80,2017-09-09
Honest,The Chainsmokers,81,4,77,2017-09-09
Transportin',Kodak Black,82,10,46,2017-09-09
It Ain't My Fault,Brothers Osborne,83,16,79,2017-09-09
Every Little Thing,Carly Pearce,84,13,50,2017-09-09
Wish I Knew You,The Revivalists,85,9,84,2017-09-09
They Don't Know,Jason Aldean,86,12,67,2017-09-09
Reminder,The Weeknd,87,17,31,2017-09-09
Flatliner,Cole Swindell,88,18,56,2017-09-09
More Girls Like You,Kip Moore,89,11,66,2017-09-09
Questions,Chris Brown,90,9,84,2017-09-09
Perplexing Pegasus,Rae Sremmurd,91,3,84,2017-09-09
For Her,Chris Lane,92,4,92,2017-09-09
Patty Cake,Kodak Black,93,3,76,2017-09-09
Havana,Camila Cabello Featuring Young Thug,94,11,7,2017-09-09
4 AM,2 Chainz Featuring Travis Scott,95,12,55,2017-09-09
Untouchable,YoungBoy Never Broke Again,96,2,95,2017-09-09
Privacy,Chris Brown,97,17,62,2017-09-09
Relationship,Young Thug Featuring Future,98,10,65,2017-09-09
Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",99,3,87,2017-09-09
I Could Use A Love Song,Maren Morris,100,10,83,2017-09-09
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,41,1,2017-09-02
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,2,19,2,2017-09-02
Bodak Yellow (Money Moves),Cardi B,3,17,1,2017-09-02
Unforgettable,French Montana Featuring Swae Lee,4,29,3,2017-09-02
Believer,Imagine Dragons,5,38,4,2017-09-02
Attention,Charlie Puth,6,27,5,2017-09-02
There's Nothing Holdin' Me Back,Shawn Mendes,7,27,6,2017-09-02
That's What I Like,Bruno Mars,8,41,1,2017-09-02
Shape Of You,Ed Sheeran,9,42,1,2017-09-02
Body Like A Back Road,Sam Hunt,10,39,6,2017-09-02
I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",11,22,1,2017-09-02
Bank Account,21 Savage,12,16,12,2017-09-02
Strip That Down,Liam Payne Featuring Quavo,13,23,10,2017-09-02
Congratulations,Post Malone Featuring Quavo,14,44,8,2017-09-02
Slow Hands,Niall Horan,15,26,11,2017-09-02
Redbone,Childish Gambino,16,44,12,2017-09-02
Humble.,Kendrick Lamar,17,30,1,2017-09-02
XO TOUR Llif3,Lil Uzi Vert,18,31,7,2017-09-02
Something Just Like This,The Chainsmokers & Coldplay,19,36,3,2017-09-02
Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",20,18,20,2017-09-02
Mi Gente,J Balvin & Willy William Featuring Beyonce,21,17,3,2017-09-02
Praying,Kesha,22,16,22,2017-09-02
Stay,Zedd & Alessia Cara,23,31,7,2017-09-02
Rake It Up,Yo Gotti Featuring Nicki Minaj,24,17,8,2017-09-02
Sorry Not Sorry,Demi Lovato,25,16,6,2017-09-02
Feel It Still,Portugal. The Man,26,19,4,2017-09-02
Location,Khalid,27,42,16,2017-09-02
Mask Off,Future,28,31,5,2017-09-02
